"","Cd4","Cd8a","Foxp3","Cd14","Cd19"
"GSM494796",7.5861024298005,7.09908813464932,6.14786360605636,10.3009241406786,5.92384575070979
"GSM494797",7.41790762916086,6.94189600337409,5.7608375220263,9.91997186202203,6.00965665342734
"GSM494798",6.18797571908251,6.52316745161397,5.77744832768564,10.3324296139415,5.78695965746371
"GSM494799",7.13091237024107,7.12423901786538,5.75514325566429,10.2898457043028,6.0173415830802
"GSM494800",6.66554607549891,6.98845209836358,5.40112296209066,9.18118137141489,5.71628637031075
"GSM494801",7.2348719381167,6.78162173856816,5.66102221626763,10.8183757634723,5.57883144366978
"GSM494802",7.30275229071544,6.34190866134561,5.59522255991124,10.5153857374615,5.43614467089641
"GSM646776",5.6041431686426,6.59670119904847,5.21743276454772,8.93722386581485,7.30642419869154
"GSM646777",5.71817670681394,7.14636220044481,4.81712926670505,9.56724192262426,5.71581521596157
"GSM646779",5.54285058907117,6.01589790660977,5.22910346441982,9.71964465608743,4.8438029961578
"GSM646780",5.5470537811092,5.16639459020807,4.97569319505263,10.7504986904217,4.74267098796388
"GSM646782",5.17532524375207,7.49768382201964,5.01569686906008,7.78580100790085,8.09612463137207
"GSM646784",5.22417002743956,9.60319935317438,4.88098932477049,8.1279600073539,7.92551013778917
"GSM646786",5.28827481765827,6.03080327846548,4.90375686071288,9.25428376856519,4.88624356546788
"GSM646787",5.27560089367138,6.49316495226217,4.92609472585575,10.2987045943139,5.10808351915069
"GSM646789",5.06686957242472,7.6069369747223,4.85429449671911,8.81621696957429,4.95680351898813
"GSM646792",5.57274687514301,6.97124972571042,5.09344276555963,9.68070625832407,6.23930978923904
"GSM646794",5.54611929975201,6.68343508947291,5.16326504090886,9.95914736419804,4.92872478302078
"GSM646774",5.64691431635786,5.9104560129515,4.70755852177158,9.20794426158499,4.75625897157076
"GSM646775",5.81312543990848,6.03561207233948,5.11695809255896,9.22149852544205,4.48541604070267
"GSM646778",5.93341438710273,5.53165988095624,5.0082096623447,9.6059053846279,5.24756949841661
"GSM646783",5.63514376765844,4.91120579431399,4.88449058135812,8.98302451356733,4.54163787961793
"GSM646785",5.56618824775573,6.2305817779896,5.01745428097937,9.33087230284156,4.71546555555342
"GSM646790",5.43060865434627,6.03176220954285,4.75406446089668,8.87364081124624,4.6455375277326
"GSM646791",5.54565221692388,4.92872478302078,5.05227877008705,8.60942351457917,5.04919387319768
"GSM646793",5.92623445434897,5.63373276197828,5.10897059894114,8.53729484718777,5.65020550900962
"GSM988656",6.68144586210494,6.78362033927096,5.05802188141638,9.02349063581315,6.73617087297121
"GSM988659",6.88695275670938,6.96466910842738,4.79699670765011,9.40442273073359,5.2111422454438
"GSM988662",7.2348719381167,6.47449395721544,4.87398466140454,10.2636319301863,5.2075578170084
"GSM988665",6.8156558518587,6.34776836329428,4.8438029961578,9.36034441673667,5.05979093452651
"GSM988671",7.5523266142768,5.6041431686426,4.85516996287765,10.3053661984835,5.69785049743195
"GSM988676",5.71440046450706,6.27134006510643,4.78998663616758,10.2679869477779,4.52282061121653
"GSM988686",7.49391746138999,6.24028098989969,5.05492957276194,10.0819429288936,5.20039259498819
"GSM988691",7.1170431640199,8.28106613397269,4.92039331831612,10.5258968232377,4.7877981528424
"GSM988701",7.94978519227788,9.95225217822853,4.99676474558128,8.71549830265032,6.03705642210335
"GSM988704",7.93851341621018,8.39380554384656,5.0236107123407,10.4972090831565,5.09476958057985
"GSM988714",8.43979482861794,10.0409332411048,4.95153132644828,9.86877811332224,6.1068516895593
"GSM988719",8.47304742389074,10.4920582863911,4.86479310461726,9.3683883448725,6.68741099212115
"GSM988729",6.23252734626415,5.72857944036052,4.92170691437715,11.0125772782396,4.977887548053
"GSM988734",7.40248096060457,7.29436774324206,5.01040821566216,9.62627806236248,4.66536707805215
"GSM988739",9.11416056151605,11.803761474968,4.90813732607931,8.6800853946626,5.94826916240964
"GSM988749",7.82129933930882,5.71770640626871,5.08946053281691,10.4818302322173,4.7685269164747
"GSM988754",5.99284203981569,5.48194146972933,4.91164129672184,8.93544891273146,5.23135670401952
"GSM988757",7.53116119188303,6.85076014423554,4.91076780074299,10.8418543551339,5.46664807918027
"GSM988760",7.32426227297168,6.43674221109065,5.22730635374078,9.31748262609763,5.07307990510418
"GSM988763",7.3907916618693,10.7224800673504,4.8048758464358,9.75659708563943,6.53845041616574
"GSM988766",8.09860401768854,6.19570600668262,5.31417955987749,11.0164965804431,5.27605099385929
"GSM988769",9.425770595814,11.3568579882726,5.1329472897823,9.03002608592467,7.83107220582141
"GSM988777",7.62509991328759,8.61017379570345,5.01920840217933,9.1024338633411,5.437063106986
"GSM988782",7.98804515583694,6.38096854878216,5.11784615067037,10.7536703411332,4.65436009284397
"GSM988790",7.51061484285094,9.06869490545775,4.87836055302202,9.7731680494642,5.87698267941679
"GSM988795",6.91868806330385,5.73900385884319,4.84248990442156,9.63314116827607,5.06642504338257
"GSM988798",9.499236600874,11.5670708201045,5.03728522524537,9.193474636241,6.03561207233948
"GSM988801",6.05244521824368,5.44953896104257,5.16147610167825,7.91314206622432,4.66933286964324
"GSM988806",9.17199174131365,10.8902797117331,5.195464570036,9.57913922657385,6.49217893006455
"GSM988811",7.67101606185891,5.55497611597597,5.13873356396434,10.7071746522871,5.07749787476166
"GSM988814",7.87679892435035,8.25606075138625,4.93047617736463,10.110587087233,5.69076615147013
"GSM988819",7.38072237653208,6.03080327846548,5.11651591362729,9.88179133707293,5.36165257379905
"GSM988824",6.06494832536163,6.23785817303552,4.85560460469814,9.69358167765783,5.20487174105532
"GSM988829",6.70432260260606,6.85126659348089,4.78035095328577,10.3858785899706,5.54285058907117
"GSM988834",7.71178109642292,6.05292746927933,5.06864473966616,10.1222252216551,5.36119322684112
"GSM988839",8.42227759918006,10.6274803689861,4.98096161205485,9.97476777266718,7.33741736241787
"GSM988842",7.75459682029194,10.2614650770232,4.88798723296337,8.72264671611154,7.30222781114561
"GSM988845",9.09854686914221,8.53437789433285,5.03993070662026,10.3438783931883,9.08885281578061
"GSM988850",9.36034441673667,11.7876689296741,5.12449734824847,9.46697977605488,6.08180563311781
"GSM988855",6.7616315958328,8.16200100149216,5.08547081481705,11.0686428603763,5.57039878625764
"GSM988860",8.96132116224374,11.8707204450286,4.90025054464677,8.8253842786297,6.62192957551865
"GSM988865",8.52345200787273,10.9970309068911,4.9950098630509,9.64698456213035,6.22427399708496
"GSM988870",6.20344734607593,6.54879467857151,4.95504548305099,9.69358167765783,5.04301321218889
"GSM988875",7.42484115541619,6.53105190541393,5.07351958421923,10.4691532606963,5.79550522320635
"GSM988878",6.33410681561572,5.93102488776171,4.68077474297259,11.0164965804431,5.13250073566707
"GSM988881",6.79311702061315,6.9737836028058,4.73432345560746,10.7631685288444,5.59287755118471
"GSM988886",7.42750195163445,5.99763998410785,5.14273833315916,10.0594085406225,5.36165257379905
"GSM988891",6.00965665342734,5.85790684709468,4.94889851945633,7.9272778138853,4.65348132465395
"GSM988894",6.41078500923945,5.70730117702051,4.85429449671911,10.0501518961635,4.91689057331106
"GSM988904",6.42302364121554,6.3961180921001,4.84161315782699,10.8938098437966,5.02493159839031
"GSM988907",8.56971737644008,11.1759547014143,4.91951652356437,9.64004176273734,6.03272647715191
"GSM988910",8.87793185131942,11.6680108381219,5.15522906846222,9.32193922700754,7.20684712408533
"GSM988915",8.11168815581475,5.78601211753535,5.54658629006904,10.8797378348852,5.32465274843678
"GSM988925",7.44833114022579,7.05152856439109,4.97305785151979,9.96259164965261,6.73367729882331
"GSM988928",8.09922370644128,10.683045118635,5.06377665195865,8.08744967743463,7.54907434186917
"GSM988931",8.35546201027762,11.3358090347997,4.84686820013642,8.2718304936568,7.49122392077749
"GSM1423282",5.04830913689315,5.68225289533795,4.6455375277326,10.0482928494094,4.78473432946903
"GSM1423284",5.12583441446802,6.18748854697175,4.77421052945109,9.20275453881064,4.7505573234844
"GSM1423286",4.96382365165123,6.03801975054037,4.66580765197002,10.8150643520035,4.71810073087506
"GSM1423288",4.94626795019046,5.59569240183182,4.92521484009065,9.03842041243628,4.80312073554066
"GSM1423290",5.18829992268324,6.19619102927575,4.85604267251631,9.62627806236248,4.76371018970996
"GSM1423292",5.0518382013232,6.06014348815941,4.67065159015059,9.38454700060417,4.86260514785363
"GSM1423294",4.99632417088579,5.97989244337214,4.82500287538113,9.40559873237425,4.80049515821072
"GSM1423296",5.03904790333549,5.5237463443594,4.73213317881818,9.58578579173485,4.81887686210342
"GSM1423298",5.11695809255896,5.48842745612871,4.78998663616758,10.1717658798144,4.93662209361631
"GSM1423300",4.93047617736463,5.7257408635366,4.611069850679,9.57119304010379,4.76809078408604
"GSM1423302",5.00953200464953,5.99332082591302,4.94364096623841,9.37068609721351,4.73432345560746
"GSM1423304",4.99193260800655,5.80311824241461,4.63847522069816,8.67072866143007,4.83898845079995
"GSM1423306",5.10319591318691,6.23979755617609,4.81056004651151,8.94077385057661,4.8018088545298
"GSM1423308",5.12361024818829,5.88940152215944,4.65127256572119,9.66097067384922,5.03243353627127
"GSM1423309",5.11208000481267,5.64691431635786,4.80749595871129,9.89826243682633,4.92214216217872
"GSM1423310",5.09476958057985,5.80836026422012,4.90726115186393,9.46084530911094,4.90375686071288
"GSM1423312",4.99852339105931,5.9286293361319,4.73695806945434,9.34439344678488,4.80968309461113
"GSM1423313",5.03067228258643,5.97030863735003,4.65920439218919,9.65675287975032,4.88536596242698
"GSM1423314",5.05846489031657,5.43107056565836,4.81099933441999,9.13288024928671,4.94012901023786
"GSM1423315",4.99061498340234,5.75893729612602,4.70668417257543,9.43055281004066,4.91120579431399
"GSM1423317",4.95504548305099,5.50885246964284,4.8394252859044,8.88653399539637,4.84402175080982
"GSM1423318",5.03508002625497,5.91188968457574,4.93047617736463,9.72110483443046,4.88929981292985
"GSM1423319",5.06023473204385,6.76761868321644,4.87442433599538,9.57516890985486,4.77377385910885
"GSM1423267",5.04037113898624,6.31462238767614,4.91295447398329,9.69358167765783,4.78209903052217
"GSM1423268",4.99808242367154,6.29758758625126,4.81099933441999,9.6059053846279,4.79480921254342
"GSM1423269",5.05802188141638,5.85361192859515,4.58977582960672,9.60185326402075,4.60796692897553
"GSM1423270",5.02493159839031,5.4824042902856,4.70493240939727,10.0895381797697,4.90506802406454
"GSM1423271",4.96031391671781,6.65016773895422,4.73300886805683,10.0520056743941,4.65215516998204
"GSM1423272",5.01172882387924,6.51036325035281,4.66756898433762,10.0299833820583,4.66316627534496
"GSM1423273",4.94845809136895,6.42547204659911,4.84074126500892,10.2357978861717,5.00557012973605
"GSM1423274",5.03684618292939,5.45416400419562,4.67065159015059,9.33873004794082,4.83461841809634
"GSM1423275",5.10230948488058,5.94779326863278,4.67901367550988,8.82204138660269,4.77706508511169
"GSM1423276",5.00732953567061,6.78961639333409,4.77290040764104,9.65675287975032,4.6666871306005
"GSM1423277",5.04830913689315,5.50652493128547,4.75713560625954,9.46697977605488,4.76020054961683
"GSM1423278",5.00600857161679,6.21458668271392,4.65215516998204,9.28556758416344,4.78254068971989
"GSM1423279",5.36302672254061,6.35655497043921,4.65127256572119,12.0213476639215,4.77114628330907
"GSM1423280",5.0792687174734,6.0866252893479,4.59909820143415,9.34553678221955,4.85385619287189
"GSM1423281",4.96558649504191,5.97653770776762,4.66404870349795,9.78077005482904,4.65700038257805
"GSM1423283",5.08724308737024,6.61203107538129,4.76458579099796,10.2106316415706,4.61550574762269
"GSM1423285",4.97569319505263,5.80454752913048,4.74705049800244,10.4490722178704,4.83200096122456
"GSM1423287",4.96646806267698,6.31803219828226,4.72467789283255,9.51688563701087,4.7123930806902
"GSM1423289",5.01349035882416,5.86123725151609,4.68517109383473,9.92503448065654,4.74310907411564
"GSM1423291",4.99588447236387,6.41005333373901,4.85779056495127,9.49547919660457,4.73607642558609
"GSM1423293",5.02979017534532,5.94922865075314,4.76063933279796,9.62080892382962,4.70755852177158
"GSM1423295",5.00512939415762,5.70919146227756,4.72336217242884,9.71380135708027,4.60841051281605
"GSM1423297",4.92477749042291,5.54425425420648,4.91995387765879,9.36149244346405,4.74836574826562
"GSM1423301",5.0783824069823,6.71128462184725,4.57511575715385,11.097712015342,4.76633582073573
"GSM1423303",5.03772530496207,6.04330834577504,4.76371018970996,10.2315786078679,4.97130196467852
"GSM1423305",5.02405139740852,6.1362901631552,4.69879578434109,9.88836255561827,4.814943979498
"GSM1423307",5.06244693571658,5.59194045615265,4.68913026072071,9.67221118221712,4.89719051900379
"GSM1423311",4.87880092237367,6.37950428357004,4.81800214400261,9.91325619029802,5.00468969264429
"GSM1423316",5.03508002625497,6.71624628366479,4.68429097282822,9.93688146876397,5.05007656574905
"GSM2389949",8.29431098631026,5.18695971932243,5.98948404708421,6.17613333171226,5.8874918852054
"GSM2389950",6.85578665077532,5.28510308839516,5.63703121140639,8.09612463137207,4.42488607458315
"GSM2389951",8.13110002651061,6.06158427170407,5.75324208768003,7.47027509150624,5.1329472897823
"GSM2389952",7.6239975753836,7.13554775367583,5.95449646614261,6.56457997809051,5.17487765597476
"GSM2389953",6.86684657925964,8.48591822703495,8.18236750514774,7.74978572641324,9.56593121859744
"GSM2389954",7.93259628656734,6.07313735999757,5.9181096834447,8.32167723204387,5.17890076801524
"GSM2389956",7.767604349636,7.36114792350995,6.59027773852219,6.92473733811547,5.87650789950712
"GSM2389958",8.90299459941995,6.98693351493637,6.96618990967035,7.75798895786178,5.49028098777396
"GSM2389938",11.3462677967946,11.0768554406121,9.18629443796287,6.89953668802428,7.17578246219563
"GSM2389939",11.606290150974,9.8256683076054,11.4226083672168,8.41739659303803,5.00204337959932
"GSM2389940",11.1714677494948,11.3675647039055,7.61408469722551,5.80978907952056,7.61188785400698
"GSM2389941",11.9911271524381,10.2723395850975,8.69967582303512,6.74116132014704,6.8768929975505
"GSM2389942",11.5670708201045,11.7487192130242,9.78077005482904,6.53252917042637,7.12372592691219
"GSM2389943",9.78689809973577,11.9335528716844,8.22221741192787,7.25935547709677,6.34825438805211
"GSM2389944",11.3410346368996,10.7010998162147,11.3568579882726,6.906081868914,5.72385321178041
"GSM2389945",11.5799919633647,11.3783424217384,10.0971535947264,7.46331136137041,6.67648188997011
"GSM2389946",11.1849767773491,11.6822361091771,10.4590515539605,6.51726495444384,5.45832750702643
"GSM2389947",11.0810053249825,12.3253388451739,7.86227362790294,5.58023961498314,6.88140956566445
"GSM2389948",11.2173042621463,11.4454211119963,8.97304813418461,7.21047679438139,5.91236533018465
