"","B cell","Dendritic cell","Macrophage","Neutrophil","T cell","Basophil","Monocyte","NK cell"
"2010016I18Rik",0,0,0,0,4.14295795384205,0,0,0
"A630023P12Rik",0,0,0,0,0,0,0,1.94753258010587
"AI839979",0,3.08111573448446,3.04376038552841,6.28397874066005,0,5.45877381922605,7.56106109761186,1.94753258010587
"Adgre1",0,0,7.38945208908437,6.28397874066005,0,2.75074777180255,5.9489157173668,1.94753258010587
"Alox15",0,3.08111573448446,3.04376038552841,0,0,0,0,1.94753258010587
"Blk",0,0,0,0,0,1.95059140673861,0,4.73953953783003
"Bmx",0,0,0,0,0,4.58030446784311,5.09377866262286,1.94753258010587
"Btla",5.19826962713627,5.92366008500436,0,0,4.14295795384205,1.95059140673861,4.83916898116688,5.01919356523331
"C1rl",0,0,2.2088881569867,0,0,6.06398991629681,5.9489157173668,0
"Ccl22",0,8.29660807404549,2.2088881569867,0,0,0,0,0
"Ccl4",0,10.3602247104494,11.2987018081399,9.96722625883599,7.65105169117893,7.57070387506318,4.83916898116688,7.87826991766875
"Ccl5",0,9.07230261595657,6.26841486484168,0,11.2786430436003,5.45877381922605,4.52978644096093,13.3992588481804
"Ccr3",0,0,0,0,0,1.95059140673861,0,0
"Ccr7",7.48841401236291,9.73427991192935,4.50710518018993,7.27469173878025,7.06967352780681,1.95059140673861,0,6.88438859711367
"Cd163l1",0,0,0,0,0,0,0,1.94753258010587
"Cd177",0,0,3.56919518486284,0,0,10.405461522507,5.8137457654895,1.94753258010587
"Cd19",8.16346997930501,0,3.56919518486284,0,0,2.75074777180255,0,6.23430422957961
"Cd200r3",0,0,0,0,0,5.54983154813583,2.70594736231395,0
"Cd200r4",0,0,2.2088881569867,0,4.14295795384205,3.26243143449706,2.70594736231395,4.73953953783003
"Cd22",0,0,0,0,0,0,0,5.25334100962995
"Cd27",0,0,0,0,4.14295795384205,3.9379702621365,3.59092816755755,6.57418802912698
"Cd300ld",0,4.54770027401481,6.33467812051884,9.43735195721415,0,3.9379702621365,3.59092816755755,5.25334100962995
"Cd3d",0,4.54770027401481,2.2088881569867,0,8.70620819860071,3.26243143449706,2.70594736231395,7.30508458472395
"Cd3e",0,0,2.2088881569867,0,6.08037341646402,0,0,4.73953953783003
"Cd3g",0,0,3.56919518486284,0,8.70620819860071,3.9379702621365,0,7.30508458472395
"Cd4",0,3.08111573448446,3.95352168094232,0,4.14295795384205,0,0,1.94753258010587
"Cd40",0,3.99325527036666,3.56919518486284,0,0,0,4.13541876945631,2.74723392962003
"Cd5",0,0,0,0,0,0,0,2.74723392962003
"Cd6",0,0,0,6.28397874066005,6.87856187255003,0,0,4.57634937041645
"Cd7",0,0,2.2088881569867,0,7.52617316951355,5.02319433556088,5.8137457654895,8.3264294871223
"Cd79a",9.40848138790485,0,2.2088881569867,0,0,5.14502337300783,5.49821559855321,7.11001715741924
"Cd79b",8.96866679319521,0,4.50710518018993,0,0,4.74351311626598,5.66458969898141,7.82473149077758
"Cd83",7.16849304594918,10.3845904737655,10.008408322293,9.43735195721415,5.10153802646206,0,2.70594736231395,4.39231742277876
"Cd8a",0,4.54770027401481,2.2088881569867,0,7.65105169117893,0,0,5.63143693052066
"Cd8b1",0,0,2.2088881569867,0,7.06967352780681,2.75074777180255,3.59092816755755,7.40574929758431
"Clec2g",0,0,0,0,0,0,0,0
"Clec4a3",0,4.94723348296767,7.15283593098775,6.28397874066005,0,1.95059140673861,7.00080929625336,5.14101230952707
"Clec4e",0,4.54770027401481,7.74663601928702,10.3539102235444,4.14295795384205,6.1825579883989,4.13541876945631,5.14101230952707
"Clec5a",0,3.99325527036666,3.04376038552841,0,0,7.40985287474539,6.6502980459787,1.94753258010587
"Cma1",0,0,0,0,4.14295795384205,0,0,8.42566550441689
"Ctsw",0,0,3.56919518486284,0,8.2336196767597,0,0,9.2448734712898
"Cxcl2",0,8.29660807404549,10.1577313684638,11.1239721420993,4.14295795384205,3.63938476725441,0,1.94753258010587
"Cxcl3",0,3.99325527036666,3.56919518486284,0,0,0,0,0
"Cxcr2",0,0,0,0,0,6.34392699889581,3.59092816755755,4.39231742277876
"Cxcr6",0,0,0,0,8.06429367679616,0,0,2.74723392962003
"Dpep2",0,6.50067840557514,4.50710518018993,0,0,0,4.52978644096093,0
"Ear1",0,0,0,0,0,1.95059140673861,3.59092816755755,0
"Ear2",0,5.73440631000904,5.88193410829554,8.85342952505498,0,6.77981811141087,7.33289581610316,5.35755200461808
"F630040K05Rik",0,0,0,0,0,0,0,0
"F730016J06Rik",0,0,0,0,0,3.63938476725441,0,0
"Fcer1a",0,0,0,0,0,6.00083943319059,0,0
"Fcer2a",6.17848701494574,0,2.2088881569867,0,0,1.95059140673861,0,6.23430422957961
"Fcgr4",6.17848701494574,4.94723348296767,7.74663601928702,0,4.14295795384205,5.36157935049781,0,4.88613203544172
"Fcmr",7.97154355395077,0,0,0,4.14295795384205,3.63938476725441,2.70594736231395,7.54468850373783
"Fcrl1",5.19826962713627,4.54770027401481,3.04376038552841,0,0,2.75074777180255,2.70594736231395,5.45473992331258
"G430095P16Rik",0,3.99325527036666,0,0,0,1.95059140673861,5.09377866262286,1.94753258010587
"Gapt",0,3.08111573448446,2.2088881569867,0,0,6.44227813378092,7.42853368964583,1.94753258010587
"Gm13986",0,0,0,0,0,2.75074777180255,2.70594736231395,0
"Gm20324",0,0,0,0,0,1.95059140673861,0,3.93411206434354
"Gm5544",0,0,0,0,0,0,0,0
"Gm8113",0,0,0,0,0,0,2.70594736231395,0
"Gm9733",0,3.08111573448446,2.2088881569867,0,0,4.39624901000793,4.83916898116688,3.25873426840017
"Gzma",0,3.08111573448446,3.56919518486284,0,8.58621429693061,2.75074777180255,2.70594736231395,12.9220268394059
"Gzmb",0,3.08111573448446,3.04376038552841,0,6.08037341646402,0,0,8.48439135877634
"H2-Eb2",0,5.51652326080925,2.2088881569867,0,0,0,0,3.25873426840017
"I830127L07Rik",0,3.08111573448446,4.90619347308184,0,0,10.8835995485012,10.7099739316783,6.88438859711367
"Ifi205",0,6.99848518269137,0,6.28397874066005,0,0,3.59092816755755,1.94753258010587
"Ifitm6",0,5.51652326080925,5.96795714442885,6.28397874066005,0,10.7769113800019,8.25203809417317,6.73760951073164
"Il4",0,0,0,0,4.14295795384205,3.26243143449706,0,0
"Il9r",0,0,0,0,0,0,0,0
"Itga2b",0,0,2.2088881569867,7.27469173878025,4.14295795384205,3.9379702621365,0,0
"Itgam",0,3.99325527036666,4.72040537087332,7.85654523945337,4.14295795384205,8.69211836134288,7.06174040062687,6.95253326116423
"Itgax",0,5.73440631000904,5.47502847368832,0,0,1.95059140673861,3.59092816755755,6.88438859711367
"Izumo1r",0,0,0,0,5.10153802646206,1.95059140673861,0,3.25873426840017
"Klra13-ps",0,0,0,0,4.14295795384205,0,0,9.39935422730104
"Klra7",0,0,0,0,5.10153802646206,0,0,8.7176764230664
"Klra8",0,0,0,0,5.6724253419715,0,0,9.45327063401062
"Klrc1",0,0,0,0,6.08037341646402,1.95059140673861,0,7.11001715741924
"Klrd1",0,6.50067840557514,3.04376038552841,0,4.14295795384205,0,3.59092816755755,9.67620896606749
"Klre1",0,0,0,0,5.10153802646206,0,0,8.44944346402179
"Klrg1",0,0,0,0,4.14295795384205,0,0,8.73712660025319
"Klri2",0,0,0,0,0,0,0,7.42985503869741
"Klrk1",0,5.51652326080925,4.50710518018993,0,6.39803107397315,0,2.70594736231395,8.78463484555752
"Lck",5.19826962713627,3.99325527036666,3.04376038552841,0,7.76597668082528,3.63938476725441,0,9.04087677903621
"Ly6g",0,0,0,0,0,9.40347600884886,6.87063719610169,3.25873426840017
"Lyz1",0,4.54770027401481,7.18910833236434,9.43735195721415,0,4.39624901000793,4.13541876945631,0
"Mcemp1",0,6.99848518269137,5.07076264786783,8.59101880064125,0,9.52628342479592,8.40095018032428,5.25334100962995
"Mfsd7a",0,0,2.2088881569867,0,0,0,5.09377866262286,0
"Mmp25",0,3.08111573448446,0,0,0,4.74351311626598,0,0
"Ms4a2",0,0,0,0,0,5.71633059328279,0,0
"Ms4a4b",0,3.08111573448446,3.04376038552841,0,8.64745842645492,3.9379702621365,5.8137457654895,10.76095750634
"Mzb1",9.40848138790485,0,0,0,0,2.75074777180255,2.70594736231395,5.71228133078561
"Ncr1",0,0,0,0,0,0,0,9.33698466919024
"Nkg7",0,0,4.50710518018993,0,9.86779352831134,7.95080862346928,6.80086415646931,11.6710987257485
"Nudt17",0,5.25977839011765,0,0,0,0,2.70594736231395,0
"Olr1",0,0,0,0,0,5.25736082416071,0,0
"Padi4",0,0,3.04376038552841,0,0,6.57827265487946,5.09377866262286,3.25873426840017
"Prf1",0,0,0,0,6.39803107397315,0,0,8.94377066130966
"Prg3",0,0,0,0,0,3.9379702621365,3.59092816755755,0
"Prss57",0,0,0,0,0,7.05316736574822,5.09377866262286,0
"Rab44",0,0,0,7.27469173878025,0,7.08396310996745,5.9489157173668,2.74723392962003
"Rasgrp4",0,5.25977839011765,3.56919518486284,0,0,7.40985287474539,6.87063719610169,4.57634937041645
"Retnlg",0,0,0,10.9665054519057,0,3.26243143449706,7.56106109761186,7.94669744547132
"Rgs18",0,3.99325527036666,0,0,0,6.23837736292839,5.31012316009295,2.74723392962003
"Sh2d1a",0,0,0,0,6.08037341646402,0,0,6.73760951073164
"Sh2d2a",5.19826962713627,0,2.2088881569867,0,8.2336196767597,0,2.70594736231395,7.60944260554845
"Siglecf",0,0,0,0,0,3.26243143449706,3.59092816755755,0
"Skint3",0,4.54770027401481,4.50710518018993,0,0,0,2.70594736231395,3.25873426840017
"Slamf8",0,6.37659517740806,7.07743497885315,0,0,1.95059140673861,4.13541876945631,3.63558857379112
"Spib",5.19826962713627,3.08111573448446,3.56919518486284,0,0,4.18523043637647,5.09377866262286,5.78883483408681
"Tal1",0,0,0,0,0,1.95059140673861,0,0
"Tarm1",0,0,3.56919518486284,7.27469173878025,4.14295795384205,2.75074777180255,0,0
"Tcf7",0,0,0,0,6.08037341646402,1.95059140673861,0,6.33985000288462
"Tgtp2",0,4.94723348296767,3.95352168094232,0,0,0,3.59092816755755,4.57634937041645
"Themis",0,0,0,0,5.6724253419715,1.95059140673861,0,3.63558857379112
"Tlr13",0,0,4.50710518018993,0,0,0,6.07249906871707,2.74723392962003
"Tlr5",0,0,0,0,0,0,0,0
"Tnfrsf13c",6.17848701494574,3.99325527036666,0,0,0,0,2.70594736231395,4.88613203544172
"Tnfrsf18",0,4.54770027401481,2.2088881569867,0,7.38945208908437,4.74351311626598,0,6.33985000288462
"Tnip3",0,8.36351369821486,4.50710518018993,6.28397874066005,0,0,0,0
"Tpsb2",0,0,0,0,0,0,0,0
"Tpsg1",0,0,0,0,0,0,0,0
"Trac",0,4.54770027401481,0,0,9.34651373316563,0,0,6.65821148275179
"Xlr4b",0,0,2.2088881569867,0,4.14295795384205,1.95059140673861,4.13541876945631,2.74723392962003
"Zap70",0,0,0,0,6.08037341646402,1.95059140673861,0,6.28804210073495
"9830107B12Rik",0,0,0,7.27469173878025,0,6.29211723603162,2.70594736231395,0
"A530030E21Rik",0,0,0,0,0,0,0,3.93411206434354
"A930002I21Rik",0,0,0,0,0,0,0,0
"Arhgef37",0,0,2.2088881569867,0,0,0,0,1.94753258010587
"Camp",0,0,0,0,0,15.7731649689011,4.52978644096093,0
"Cd40lg",0,0,0,0,0,0,0,1.94753258010587
"Cebpe",0,0,0,0,0,10.1602073492987,6.56868050176304,3.63558857379112
"Gfi1b",0,0,0,0,0,1.95059140673861,3.59092816755755,0
"Gm13814",0,0,0,0,0,0,0,0
"Gm16194",0,0,0,0,0,2.75074777180255,0,0
"Gm43291",0,0,2.2088881569867,0,0,2.75074777180255,0,4.18132976471456
"Ngp",0,0,0,0,0,16.1022744962907,3.59092816755755,4.57634937041645
"Pax5",0,0,2.2088881569867,0,0,0,3.59092816755755,4.88613203544172
"Prg2",6.75679456792813,0,0,0,0,5.86558705198419,5.31012316009295,1.94753258010587
"5730522E02Rik",0,0,0,0,0,0,0,0
"Ccr6",0,0,0,0,0,0,0,0
"Clec4a4",0,0,0,0,0,0,2.70594736231395,1.94753258010587
"Ear6",0,0,0,0,0,2.75074777180255,3.59092816755755,2.74723392962003
"Epx",0,0,0,0,0,1.95059140673861,4.13541876945631,1.94753258010587
"Gzmk",0,0,0,0,5.6724253419715,0,0,2.74723392962003
"Tmigd3",0,0,0,0,0,0,0,0
"Tlr8",0,0,0,0,0,0,0,0
"4930430E12Rik",0,0,0,0,0,0,0,0
"Muc6",0,0,0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0,0,0
"Tph1",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0
"Gm13817",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
