"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"2010016I18Rik",1.07744036461227,0,0,1.98498296435927,0,0,0,1.05895620969413
"A630023P12Rik",2.53884875044351,2.65973026912313,0,3.83931561769774,3.26829926454988,0,0,1.66304727616028
"AI839979",0.45427722054489,3.54080817111492,3.15971118858031,1.30992699741717,0,5.45877381922605,7.56106109761186,4.7257659666062
"Adgre1",3.59727929147761,4.78637391257406,9.46627881483688,3.30388880308041,4.19142012589374,2.75074777180255,5.9489157173668,3.18993161311906
"Alox15",3.19252827471674,4.78637391257406,3.15971118858031,2.79017977824947,2.58830749419945,0,0,3.35178389072735
"Blk",4.93582263904223,4.08384706231283,3.15971118858031,3.83931561769774,3.60194145453094,1.95059140673861,0,3.9658968198644
"Bmx",0,0,0,0,0,4.58030446784311,5.09377866262286,6.02063539495234
"Btla",5.44496735006325,5.0406686297714,5.60344972809904,5.50394331801203,4.65729605445871,1.95059140673861,4.83916898116688,4.0626089598257
"C1rl",0.45427722054489,0,3.15971118858031,0,0.354510309590756,6.06398991629681,5.9489157173668,5.71321800478139
"Ccl22",4.72991378112919,9.58300272450242,4.07664595803119,4.22893250810005,4.29740807212241,0,0,0
"Ccl4",7.84837042799493,10.5568117557391,11.3813626931671,9.75639841039922,8.02728998014665,7.57070387506318,4.83916898116688,4.69592386010756
"Ccl5",9.83667762266907,12.8460196203379,9.88484887578763,11.9988428356952,10.2489681532343,5.45877381922605,4.52978644096093,6.5655384282732
"Ccr7",9.13839023718913,10.8713973762343,8.24120763429755,9.11054894521588,8.9790569214413,1.95059140673861,0,5.88174202744809
"Cd163l1",1.07744036461227,0,0,3.83931561769774,1.08011604159241,0,0,0
"Cd177",1.31056401187879,2.65973026912313,0,1.98498296435927,0,10.405461522507,5.8137457654895,9.37044419274581
"Cd19",7.54239897448593,6.23779476325755,6.3284968454099,5.68077043141782,5.70745526880924,2.75074777180255,0,5.30237529746596
"Cd200r3",1.31056401187879,0,3.15971118858031,0,1.25867428731541,5.54983154813583,2.70594736231395,3.91499564524557
"Cd200r4",2.11465554349358,3.54080817111492,5.60344972809904,3.83931561769774,2.58830749419945,3.26243143449706,2.70594736231395,1.66304727616028
"Cd22",6.12593822885389,4.47745687525317,4.63282213949975,4.53539042132002,4.4705314271268,0,0,3.91499564524557
"Cd27",5.38234163279056,3.54080817111492,4.63282213949975,7.71135642369682,6.45792383758291,3.9379702621365,3.59092816755755,4.27933768169201
"Cd300ld",2.11465554349358,2.65973026912313,7.24596763691755,3.06977943777837,2.58830749419945,3.9379702621365,3.59092816755755,7.12596330177775
"Cd3d",8.71661069406858,8.45969320548173,8.71985054854418,10.8053098203878,9.4567061827848,3.26243143449706,2.70594736231395,6.30389945594247
"Cd3e",6.207677296444,6.01858493300885,6.58853618360097,8.27002572263891,7.00648431514592,0,0,3.10164424924247
"Cd3g",7.57636615573161,7.17609355579916,7.16849304594918,10.109243398179,8.52843506490855,3.9379702621365,0,5.32204531886594
"Cd4",4.55923908854186,5.0406686297714,6.58853618360097,7.0353766378036,5.4095327638416,0,0,1.66304727616028
"Cd40",5.6395997866141,7.97154355395077,7.5199482071422,4.6246062205262,4.50633659133868,0,4.13541876945631,1.39239185180557
"Cd5",3.84030854255021,4.47745687525317,5.03324818238657,7.64892658025837,5.76770495671589,0,0,1.66304727616028
"Cd6",4.84585215338632,5.0406686297714,4.63282213949975,7.39368873358254,5.66848010039428,0,0,2.79884474346089
"Cd7",5.39508614633957,6.74662151962079,5.34633783979166,8.13229818199919,6.11943247848658,5.02319433556088,5.8137457654895,3.91499564524557
"Cd79a",7.85068540026787,4.08384706231283,5.34633783979166,5.30237529746596,5.56192344855352,5.14502337300783,5.49821559855321,6.68428323890338
"Cd79b",8.37123575646917,6.33605543194145,6.90746298007978,6.82560802035308,6.80559569088653,4.74351311626598,5.66458969898141,6.72178795146763
"Cd83",8.8324098602471,10.5970025253521,10.0122698014126,7.71135642369682,7.4171473163965,0,2.70594736231395,3.18993161311906
"Cd8a",6.73940961707396,7.22820464705572,6.58853618360097,9.27459525818324,7.64102025663331,0,0,4.56997077583058
"Cd8b1",7.04454782001592,7.27849888674437,7.08662068662898,9.77600467591657,8.35395770107253,2.75074777180255,3.59092816755755,5.98406198384341
"Clec2g",0.45427722054489,0,0,0,0,0,0,0
"Clec4a3",4.11138475449056,5.0406686297714,8.71985054854418,4.6246062205262,4.52391136149367,1.95059140673861,7.00080929625336,4.91897949249899
"Clec4e",3.55247427948636,2.65973026912313,6.17848701494574,3.50525955991319,2.71611966941641,6.1825579883989,4.13541876945631,7.88327210600683
"Clec5a",1.84425450486913,0,6.58853618360097,2.44304161500685,2.02292413409484,7.40985287474539,6.6502980459787,6.87612446789434
"Cma1",5.20552286527995,5.25678584183231,5.34633783979166,5.3554683892344,5.12859394112823,0,0,2.55468861736944
"Ctsw",6.84999592699075,6.81637094161974,7.16849304594918,9.08326687874989,7.40771158210628,0,0,4.91897949249899
"Cxcl2",6.76418160501719,7.41964646567772,12.1761682009743,6.38957088458954,6.75812112072058,3.63938476725441,0,5.66782079624969
"Cxcl3",0,3.54080817111492,4.63282213949975,0,0.876294621185,0,0,0
"Cxcr2",0,0,0,1.98498296435927,0.638864439020138,6.34392699889581,3.59092816755755,8.27508031360267
"Cxcr6",3.80254147723359,3.54080817111492,4.07664595803119,7.46789489926987,4.31770233053567,0,0,2.41513518658909
"Dpep2",1.68731934221485,4.08384706231283,7.16849304594918,1.30992699741717,0.876294621185,0,4.52978644096093,0.624533108880708
"Ear2",2.11465554349358,4.47745687525317,7.85274003955977,3.06977943777837,1.56064684016928,6.77981811141087,7.33289581610316,7.20224323696083
"F630040K05Rik",0.45427722054489,0,0,0,0,0,0,0
"Fcer1a",1.07744036461227,0,0,0,1.25867428731541,6.00083943319059,0,5.37949570838639
"Fcer2a",5.49318139200725,3.54080817111492,4.07664595803119,3.83931561769774,3.26829926454988,1.95059140673861,0,4.66545140885902
"Fcgr4",5.1464494949866,5.61094628970029,9.57535915757691,5.24725340937048,5.03363772253474,5.36157935049781,0,6.26377910455855
"Fcmr",7.78199544265849,6.23779476325755,5.60344972809904,6.22813559624027,6.12520118960299,3.63938476725441,2.70594736231395,6.2739142750187
"Fcrl1",6.31216414541654,4.47745687525317,5.34633783979166,5.06799911753724,4.80835923469189,2.75074777180255,2.70594736231395,3.86223268746783
"G430095P16Rik",2.11465554349358,4.08384706231283,0,1.30992699741717,2.65362852157003,1.95059140673861,5.09377866262286,2.41513518658909
"Gapt",1.98578085427568,3.54080817111492,5.34633783979166,1.30992699741717,0.876294621185,6.44227813378092,7.42853368964583,6.06800090970833
"Gm13986",1.5112054484713,0,0,0,0.876294621185,2.75074777180255,2.70594736231395,2.08755478243132
"Gm20324",3.94801699624119,4.08384706231283,3.15971118858031,5.45612958882891,4.57538649847982,1.95059140673861,0,3.27312628692297
"Gm5544",0,0,3.15971118858031,0,0.354510309590756,0,0,0
"Gm8113",0.45427722054489,0,0,1.30992699741717,0.354510309590756,0,2.70594736231395,3.75053915044526
"Gm9733",2.23295609540306,4.47745687525317,4.07664595803119,3.30388880308041,1.81022253389597,4.39624901000793,4.83916898116688,5.01878036512903
"Gzma",7.58195040677821,7.70353547326128,7.63961347189657,10.7369272453925,7.84004587922516,2.75074777180255,2.70594736231395,4.81175822905654
"Gzmb",7.12325220802591,7.22820464705572,6.90746298007978,11.4342488393115,7.63900557234035,0,0,1.05895620969413
"H2-Eb2",4.60383770776018,6.13234931999275,3.15971118858031,3.50525955991319,3.18237360291551,0,0,1.39239185180557
"I830127L07Rik",3.45846049916007,0,4.63282213949975,3.83931561769774,3.4261712947182,10.8835995485012,10.7099739316783,10.2022949795813
"Ifi205",4.08015772176413,6.81637094161974,6.80878545766404,4.33847927115121,4.64128195906451,0,3.59092816755755,0
"Ifitm6",4.97029645537765,6.88290315844772,7.9014415868891,4.53539042132002,4.10064037900671,10.7769113800019,8.25203809417317,10.9087317025673
"Il4",1.31056401187879,2.65973026912313,4.07664595803119,3.68193490139009,1.25867428731541,3.26243143449706,0,0
"Il9r",3.13290922062756,0,0,2.79017977824947,1.81022253389597,0,0,1.05895620969413
"Itga2b",3.35789055844484,0,0,3.06977943777837,3.97849138825972,3.9379702621365,0,3.00759981585816
"Itgam",2.79109298102084,5.0406686297714,7.69591871496287,4.44029175296636,3.22597604641145,8.69211836134288,7.06174040062687,8.58288915641724
"Itgax",3.00572842405125,6.13234931999275,7.63961347189657,4.78801843696,2.99345487080805,1.95059140673861,3.59092816755755,3.00759981585816
"Izumo1r",3.87711210561226,3.54080817111492,4.07664595803119,6.14009614252707,5.31174515320044,1.95059140673861,0,1.39239185180557
"Klra13-ps",3.35789055844484,0,3.15971118858031,7.3019966728397,4.00376257287306,0,0,3.18993161311906
"Klra7",3.59727929147761,2.65973026912313,4.07664595803119,7.26084300088519,4.02859870078489,0,0,2.41513518658909
"Klra8",4.14195017554455,3.54080817111492,4.07664595803119,7.27469173878025,3.49906859087465,0,0,3.10164424924247
"Klrc1",3.76375910213323,4.08384706231283,3.15971118858031,7.75152425232425,4.94509328281203,1.95059140673861,0,1.39239185180557
"Klrd1",5.92968658913449,8.08892916681588,6.3284968454099,8.87176857178848,6.8619595099255,0,3.59092816755755,4.27933768169201
"Klre1",4.17188143957112,4.47745687525317,0,7.84730758469216,4.433814976962,0,0,1.66304727616028
"Klrg1",4.31287623909276,4.47745687525317,4.63282213949975,8.14743074475594,4.41510028930522,0,0,1.66304727616028
"Klri2",1.98578085427568,2.65973026912313,3.15971118858031,5.59506433148277,2.37247102109643,0,0,1.05895620969413
"Klrk1",4.66825251851143,6.88290315844772,6.80878545766404,8.33094338922832,5.28106793865535,0,2.70594736231395,1.39239185180557
"Lck",7.29967238320422,6.13234931999275,7.45617511632714,10.0113182440535,8.15402826357508,3.63938476725441,0,5.85498653554044
"Ly6g",0.799246864327337,0,0,0,0,9.40347600884886,6.87063719610169,9.84593681015342
"Lyz1",5.33020699975912,5.75999439259656,9.14080948726346,4.86326990344114,5.184916771686,4.39624901000793,4.13541876945631,4.31903355081995
"Mcemp1",3.59727929147761,6.23779476325755,7.16849304594918,3.83931561769774,3.87273274765764,9.52628342479592,8.40095018032428,9.59421136430176
"Mfsd7a",1.31056401187879,0,3.15971118858031,1.30992699741717,0.638864439020138,0,5.09377866262286,1.05895620969413
"Mmp25",1.31056401187879,5.44470653534577,0,1.30992699741717,1.25867428731541,4.74351311626598,0,5.72803841576936
"Ms4a2",1.07744036461227,0,0,0,0,5.71633059328279,0,4.10863771681645
"Ms4a4b",8.65171298268711,8.17109692820984,8.41899036623789,11.7390041141962,9.57470683561774,3.9379702621365,5.8137457654895,6.28397874066005
"Mzb1",7.35941957127485,4.78637391257406,6.01104972573117,5.00293149550384,5.15138760652387,2.75074777180255,2.70594736231395,4.86636471871583
"Ncr1",3.2497810472622,4.08384706231283,3.15971118858031,6.1700435612518,2.94208970753022,0,0,2.08755478243132
"Nkg7",8.69487143127471,8.36975974792695,8.08130377824035,11.3967472628577,8.95658445668633,7.95080862346928,6.80086415646931,8.09243647966976
"Nudt17",3.55247427948636,8.8737058852611,4.07664595803119,3.98120415385978,3.63466445049086,0,2.70594736231395,1.05895620969413
"Olr1",1.07744036461227,0,0,0,0.354510309590756,5.25736082416071,0,4.27933768169201
"Padi4",0,0,4.07664595803119,1.30992699741717,1.08011604159241,6.57827265487946,5.09377866262286,7.40951045853045
"Prf1",4.31287623909276,4.47745687525317,5.03324818238657,6.9167451566736,4.71963192158144,0,0,3.10164424924247
"Prg3",1.31056401187879,4.78637391257406,3.15971118858031,0,1.25867428731541,3.9379702621365,3.59092816755755,5.1997893030117
"Prss57",0,0,0,1.30992699741717,0.638864439020138,7.05316736574822,5.09377866262286,6.44513369555497
"Rab44",0.45427722054489,0,0,0,1.25867428731541,7.08396310996745,5.9489157173668,6.42708239789802
"Rasgrp4",2.53884875044351,4.78637391257406,7.31949292420592,3.30388880308041,2.37247102109643,7.40985287474539,6.87063719610169,7.6657516439496
"Retnlg",4.01559972567176,3.54080817111492,4.07664595803119,4.6246062205262,4.02859870078489,3.26243143449706,7.56106109761186,13.3954869937111
"Rgs18",2.44391284697347,4.78637391257406,6.70285979426325,2.44304161500685,1.69082481718342,6.23837736292839,5.31012316009295,5.75723017392189
"Sh2d1a",5.08485361924166,4.78637391257406,4.63282213949975,8.50551796637908,6.30875731467486,0,0,2.08755478243132
"Sh2d2a",6.40959193333119,6.23779476325755,6.17848701494574,9.32537864358981,7.082579017218,0,2.70594736231395,3.18993161311906
"Siglecf",0.45427722054489,0,0,1.30992699741717,0,3.26243143449706,3.59092816755755,4.27933768169201
"Skint3",0.799246864327337,0,4.63282213949975,1.30992699741717,0.638864439020138,0,2.70594736231395,2.08755478243132
"Slamf8",4.97029645537765,6.5961104370669,8.63599156927595,4.93479005066392,4.37692647760039,1.95059140673861,4.13541876945631,1.39239185180557
"Spib",6.16366736515547,6.5145252100963,0,3.50525955991319,3.56845898072728,4.18523043637647,5.09377866262286,5.01878036512903
"Tal1",0,2.65973026912313,0,0,0,1.95059140673861,0,2.55468861736944
"Tarm1",3.682919233083,6.13234931999275,0,3.83931561769774,3.49906859087465,2.75074777180255,0,5.48795758431752
"Tcf7",4.76960418948891,4.78637391257406,5.03324818238657,7.40632452624815,6.75440369476495,1.95059140673861,0,3.9658968198644
"Tgtp2",7.19788418605741,7.58863490444622,9.40003229703406,7.53847020671288,7.49940176910316,0,3.59092816755755,3.00759981585816
"Themis",3.87711210561226,3.54080817111492,0,6.82560802035308,4.62508810803206,1.95059140673861,0,2.08755478243132
"Tlr13",1.07744036461227,0,5.60344972809904,1.30992699741717,1.25867428731541,0,6.07249906871707,5.50526750139022
"Tlr5",0.799246864327337,0,4.07664595803119,0,0.354510309590756,0,0,0
"Tnfrsf13c",6.07140281456319,4.78637391257406,4.07664595803119,4.44029175296636,4.12387642712082,0,2.70594736231395,3.80746656415794
"Tnfrsf18",4.93582263904223,6.01858493300885,4.63282213949975,7.94580742098106,5.90145519308572,4.74351311626598,0,4.15324323112606
"Tnip3",2.53884875044351,6.13234931999275,6.01104972573117,3.06977943777837,2.65362852157003,0,0,1.39239185180557
"Tpsb2",4.82716461662816,5.0406686297714,4.63282213949975,3.83931561769774,4.74981808485663,0,0,0
"Tpsg1",0.799246864327337,2.65973026912313,0,0,0.876294621185,0,0,0
"Trac",8.34355970988507,7.90906323327786,8.38514338989102,10.7897217285429,9.28310125392664,0,0,5.24170303842025
"Xlr4b",4.22994307737688,4.78637391257406,4.63282213949975,6.6240005006021,4.05301449829059,1.95059140673861,4.13541876945631,2.41513518658909
"Zap70",4.98722929266439,4.47745687525317,5.60344972809904,8.06216591745866,6.14804809869017,1.95059140673861,0,3.00759981585816
"A530030E21Rik",2.71181278771157,0,0,1.30992699741717,2.29269973364891,0,0,1.05895620969413
"A930002I21Rik",0,0,0,1.30992699741717,1.08011604159241,0,0,0
"Arhgef37",0,0,0,0,0.354510309590756,0,0,0
"Camp",4.62563044020669,4.47745687525317,3.15971118858031,3.98120415385978,4.54127461164599,15.7731649689011,4.52978644096093,14.0467895276885
"Cd40lg",1.84425450486913,2.65973026912313,0,5.13025830516253,2.77601598577303,0,0,0.624533108880708
"Cebpe",0.45427722054489,0,3.15971118858031,0,0.354510309590756,10.1602073492987,6.56868050176304,8.44840829877849
"Gfi1b",0.45427722054489,0,0,0,0,1.95059140673861,3.59092816755755,1.39239185180557
"Gm16194",0.45427722054489,0,0,0,0,2.75074777180255,0,0.624533108880708
"Gm43291",3.40905168986167,2.65973026912313,0,1.30992699741717,0.638864439020138,2.75074777180255,0,2.55468861736944
"Ngp",4.22994307737688,4.08384706231283,0,3.30388880308041,4.25594250650771,16.1022744962907,3.59092816755755,14.665467709283
"Pax5",5.31687355573875,3.54080817111492,4.63282213949975,3.30388880308041,3.63466445049086,0,3.59092816755755,3.62946713452515
"Prg2",4.08015772176413,0,3.15971118858031,2.44304161500685,1.92048970694434,5.86558705198419,5.31012316009295,9.33820641737111
"Ccr6",3.19252827471674,0,0,3.06977943777837,1.92048970694434,0,0,0.624533108880708
"Clec4a4",0,3.54080817111492,3.15971118858031,0,0,0,2.70594736231395,1.05895620969413
"Gzmk",3.40905168986167,4.08384706231283,3.15971118858031,7.3019966728397,3.75860368329424,0,0,0
"Tmigd3",0,0,3.15971118858031,0,0.638864439020138,0,0,1.05895620969413
"4930430E12Rik",0.45427722054489,0,3.15971118858031,1.30992699741717,0.354510309590756,0,0,0
"Fer1l5",0,0,0,0,0.354510309590756,0,0,0
"Tph1",1.5112054484713,0,4.07664595803119,1.30992699741717,1.81022253389597,0,0,0
