"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"A630023P12Rik",0,0,0,0,0,0,1.94753258010587,3.9301055771651
"AI839979",4.28677164947374,0,5.3656185341088,7.29053089486733,4.46772034578952,5.45877381922605,1.94753258010587,0.672173496803554
"Adgre1",0,0,7.61766800599003,6.08037341646402,3.91499564524557,2.75074777180255,1.94753258010587,0.672173496803554
"Alox15",2.8425443505199,0,0,0,6.47618998003378,0,1.94753258010587,0
"Blk",6.34424110364447,0,0,0,0,1.95059140673861,4.73953953783003,3.81315317539954
"Bmx",3.73830080485003,0,0,4.53743413063857,6.00854698409935,4.58030446784311,1.94753258010587,1.75441175771039
"Btla",0,0,4.5842713893111,5.50603203149944,2.17668236761762,1.95059140673861,5.01919356523331,5.3905835979831
"C1rl",2.8425443505199,0,6.0049146091053,6.08037341646402,5.74998742285283,6.06398991629681,0,0.672173496803554
"Ccl22",0,0,0,0,0,0,0,0
"Ccl4",7.33533521107076,9.52716830914237,7.98796635947659,7.06967352780681,3.53149129227312,7.57070387506318,7.87826991766875,3.30773119000046
"Ccl5",3.73830080485003,6.73149768188789,4.18914291698645,0,4.68076808747216,5.45877381922605,13.3992588481804,10.385961583196
"Ccr3",0,0,5.55388303217193,0,4.86636471871583,1.95059140673861,0,1.75441175771039
"Ccr7",7.09595045931016,0,0,0,0,1.95059140673861,6.88438859711367,9.2269409666086
"Cd177",2.8425443505199,5.74501082272223,6.92706271965215,6.08037341646402,10.1392450840556,10.405461522507,1.94753258010587,3.39170572251906
"Cd19",7.87999915897448,0,2.75427319726132,4.53743413063857,0,2.75074777180255,6.23430422957961,5.12217129827986
"Cd200r3",0,0,2.75427319726132,0,4.68076808747216,5.54983154813583,0,1.75441175771039
"Cd200r4",0,0,2.75427319726132,0,2.17668236761762,3.26243143449706,4.73953953783003,1.47530045647733
"Cd22",5.4662968004359,0,3.64319272917858,0,0,0,5.25334100962995,4.32128580280542
"Cd27",3.73830080485003,0,5.55388303217193,0,0,3.9379702621365,6.57418802912698,7.98765620748714
"Cd300ld",0,0,5.55388303217193,0,6.2939734811519,3.9379702621365,5.25334100962995,4.72897012778883
"Cd3d",0,0,0,0,3.91499564524557,3.26243143449706,7.30508458472395,9.66266045261944
"Cd3e",0,0,0,0,0,0,4.73953953783003,6.56633639801732
"Cd3g",0,0,0,0,3.00759981585816,3.9379702621365,7.30508458472395,9.19076987966851
"Cd4",0,0,4.18914291698645,0,0,0,1.94753258010587,5.3905835979831
"Cd40",2.8425443505199,0,4.5842713893111,4.53743413063857,0,0,2.74723392962003,2.18929666850891
"Cd5",0,0,0,0,0,0,2.74723392962003,5.17051946147828
"Cd6",0,0,0,0,0,0,4.57634937041645,6.62823188026063
"Cd7",4.28677164947374,9.17977816800923,2.75427319726132,5.50603203149944,0,5.02319433556088,8.3264294871223,6.98659323736606
"Cd79a",10.2270513459657,6.73149768188789,5.72039169623323,4.53743413063857,5.65236529908138,5.14502337300783,7.11001715741924,5.7015095699075
"Cd79b",9.73615134379047,0,6.62499498058734,5.50603203149944,6.08536959489157,4.74351311626598,7.82473149077758,6.96619520157855
"Cd83",5.4662968004359,7.72469334861516,7.61766800599003,0,3.91499564524557,0,4.39231742277876,3.87281414855924
"Cd8a",0,0,0,0,0,0,5.63143693052066,8.46080526091161
"Cd8b1",2.8425443505199,0,0,0,2.17668236761762,2.75074777180255,7.40574929758431,9.92028216647279
"Clec2g",0,0,2.75427319726132,0,0,0,0,0
"Clec4a3",2.8425443505199,7.31192752807004,7.98796635947659,5.50603203149944,3.91499564524557,1.95059140673861,5.14101230952707,4.2778082006552
"Clec4e",3.73830080485003,5.74501082272223,6.24246233893741,0,8.72633810504523,6.1825579883989,5.14101230952707,4.48316989615507
"Clec5a",4.99386442320935,0,6.24246233893741,6.80878545766404,7.31696665914401,7.40985287474539,1.94753258010587,1.12891602791321
"Cma1",0,0,2.75427319726132,0,0,0,8.42566550441689,3.54627621597719
"Ctsw",0,0,0,0,0,0,9.2448734712898,8.15018419706227
"Cxcl2",0,0,7.23290330251487,6.80878545766404,7.90951283234037,3.63938476725441,1.94753258010587,2.66476641147795
"Cxcl3",0,0,0,0,0,0,0,0
"Cxcr2",3.73830080485003,0,4.18914291698645,0,6.82878460020469,6.34392699889581,4.39231742277876,3.30773119000046
"Cxcr6",0,0,0,0,2.17668236761762,0,2.74723392962003,5.59925068084223
"Dpep2",0,0,5.55388303217193,0,2.17668236761762,0,0,1.98817896891149
"Ear1",4.28677164947374,0,4.5842713893111,0,8.54781778474532,1.95059140673861,0,0
"Ear2",4.68321124685071,5.74501082272223,8.25548988055415,6.08037341646402,8.12499501059375,6.77981811141087,5.35755200461808,4.08947602147011
"F730016J06Rik",0,0,0,0,5.17836677532897,3.63938476725441,0,0
"Fcer1a",0,0,0,0,5.31224383108089,6.00083943319059,0,0.672173496803554
"Fcer2a",2.8425443505199,0,0,0,2.17668236761762,1.95059140673861,6.23430422957961,5.14654790323304
"Fcgr4",3.73830080485003,0,4.5842713893111,0,5.84142038663533,5.36157935049781,4.88613203544172,3.54627621597719
"Fcmr",5.24933296415472,0,2.75427319726132,0,2.17668236761762,3.63938476725441,7.54468850373783,6.77617429465871
"Fcrl1",4.68321124685071,0,2.75427319726132,0,3.53149129227312,2.75074777180255,5.45473992331258,5.02032466203174
"G430095P16Rik",2.8425443505199,0,4.89412084283601,5.50603203149944,2.17668236761762,1.95059140673861,1.94753258010587,3.47106006719889
"Gapt",4.68321124685071,0,5.8696558830139,6.49007089098767,6.47618998003378,6.44227813378092,1.94753258010587,1.98817896891149
"Gm13986",0,0,0,0,2.17668236761762,2.75074777180255,0,0
"Gm20324",2.8425443505199,0,3.64319272917858,0,2.17668236761762,1.95059140673861,3.93411206434354,4.82271502067728
"Gm8113",2.8425443505199,0,3.64319272917858,0,5.74998742285283,0,0,0
"Gm9733",0,5.74501082272223,5.55388303217193,4.53743413063857,4.21766763174215,4.39624901000793,3.25873426840017,1.47530045647733
"Gzma",0,0,2.75427319726132,0,3.00759981585816,2.75074777180255,12.9220268394059,7.44045640841171
"Gzmb",0,0,0,0,0,0,8.48439135877634,3.47106006719889
"I830127L07Rik",8.53671490481935,5.74501082272223,9.54713830253858,10.867021276509,10.4391285221646,10.8835995485012,6.88438859711367,5.24013311184965
"Ifi205",0,0,3.64319272917858,0,0,0,1.94753258010587,2.18929666850891
"Ifitm6",7.44161217113799,9.04252338591279,8.91814356041761,8.93631076017344,11.320427152841,10.7769113800019,6.73760951073164,6.2209200785404
"Il4",0,0,0,0,0,3.26243143449706,0,0
"Itga2b",0,0,0,0,3.53149129227312,3.9379702621365,0,1.12891602791321
"Itgam",2.8425443505199,7.72469334861516,6.99363792723172,7.06967352780681,8.43492183429685,8.69211836134288,6.95253326116423,3.21856503266174
"Itgax",2.8425443505199,0,0,0,0,1.95059140673861,6.88438859711367,2.79383723760097
"Izumo1r",0,0,0,0,0,1.95059140673861,3.25873426840017,4.85265684541799
"Klra13-ps",0,0,0,0,0,0,9.39935422730104,6.05054303415506
"Klra7",0,0,0,0,0,0,8.7176764230664,4.85265684541799
"Klra8",0,0,0,0,0,0,9.45327063401062,4.32128580280542
"Klrc1",0,0,2.75427319726132,0,0,1.95059140673861,7.11001715741924,4.08947602147011
"Klrd1",3.73830080485003,7.72469334861516,0,0,0,0,9.67620896606749,7.96041449901735
"Klre1",0,0,0,0,0,0,8.44944346402179,3.87281414855924
"Klrg1",2.8425443505199,0,0,0,0,0,8.73712660025319,4.40449727596443
"Klri2",0,0,0,0,0,0,7.42985503869741,2.79383723760097
"Klrk1",0,5.74501082272223,3.64319272917858,4.53743413063857,0,0,8.78463484555752,4.66290868275187
"Lck",4.99386442320935,0,4.5842713893111,0,3.00759981585816,3.63938476725441,9.04087677903621,9.3356222784607
"Ly6g",4.99386442320935,0,4.18914291698645,0,9.37280376273661,9.40347600884886,3.25873426840017,1.47530045647733
"Lyz1",4.28677164947374,10.4737591461826,9.30648078056682,4.53743413063857,5.43474567747119,4.39624901000793,0,1.12891602791321
"Mcemp1",5.65485699237348,7.31192752807004,7.92112274445672,8.79910170070846,9.76021626019311,9.52628342479592,5.25334100962995,5.43083716943491
"Mfsd7a",0,0,4.18914291698645,5.50603203149944,3.00759981585816,0,0,0.672173496803554
"Mmp25",0,0,0,0,5.65236529908138,4.74351311626598,0,0
"Ms4a2",0,0,2.75427319726132,0,3.91499564524557,5.71633059328279,0,0.672173496803554
"Ms4a4b",4.28677164947374,0,5.3656185341088,7.29053089486733,3.00759981585816,3.9379702621365,10.76095750634,10.4985474048165
"Mzb1",9.46087298622278,0,2.75427319726132,0,3.00759981585816,2.75074777180255,5.71228133078561,4.62870783873986
"Ncr1",0,0,0,0,0,0,9.33698466919024,4.08947602147011
"Nkg7",7.5405944715319,6.73149768188789,11.0033240438281,4.53743413063857,8.12499501059375,7.95080862346928,11.6710987257485,9.52881637013617
"Nudt17",0,0,3.64319272917858,4.53743413063857,0,0,0,0.672173496803554
"Olr1",0,0,4.89412084283601,4.53743413063857,4.21766763174215,5.25736082416071,0,0
"Padi4",3.73830080485003,0,4.5842713893111,5.50603203149944,7.43908461319553,6.57827265487946,3.25873426840017,1.75441175771039
"Prf1",0,0,0,0,0,0,8.94377066130966,5.28474345399195
"Prg3",3.73830080485003,0,3.64319272917858,0,5.84142038663533,3.9379702621365,0,0
"Prss57",5.4662968004359,0,9.26665193456479,0,6.95697938253449,7.05316736574822,0,0.672173496803554
"Rab44",2.8425443505199,0,6.92706271965215,4.53743413063857,6.53215010728155,7.08396310996745,2.74723392962003,1.75441175771039
"Rasgrp4",4.28677164947374,0,6.12857215462909,4.53743413063857,7.25179908900404,7.40985287474539,4.57634937041645,4.66290868275187
"Retnlg",5.24933296415472,0,4.5842713893111,0,13.7151236518322,3.26243143449706,7.94669744547132,6.68758076197229
"Rgs18",5.24933296415472,5.74501082272223,6.53844540026848,6.80878545766404,6.63795142446664,6.23837736292839,2.74723392962003,1.47530045647733
"Sh2d1a",0,0,0,0,0,0,6.73760951073164,5.92933304968164
"Sh2d2a",3.73830080485003,0,0,0,0,0,7.60944260554845,6.13824520990118
"Siglecf",0,0,4.18914291698645,0,4.46772034578952,3.26243143449706,0,1.12891602791321
"Skint3",0,5.74501082272223,4.89412084283601,0,2.17668236761762,0,3.25873426840017,1.47530045647733
"Slamf8",0,0,3.64319272917858,0,0,1.95059140673861,3.63558857379112,1.12891602791321
"Spib",8.79910170070846,8.30738058795774,4.5842713893111,4.53743413063857,3.53149129227312,4.18523043637647,5.78883483408681,4.36349138806223
"Tal1",4.28677164947374,0,3.64319272917858,0,2.17668236761762,1.95059140673861,0,0.672173496803554
"Tarm1",0,0,0,0,5.43474567747119,2.75074777180255,0,1.98817896891149
"Tcf7",0,0,0,0,0,1.95059140673861,6.33985000288462,8.11046201118047
"Tgtp2",2.8425443505199,5.74501082272223,4.18914291698645,0,0,0,4.57634937041645,5.6849618741149
"Themis",0,0,0,0,2.17668236761762,1.95059140673861,3.63558857379112,5.3905835979831
"Tlr13",0,0,5.1490462717664,5.50603203149944,4.21766763174215,0,2.74723392962003,2.18929666850891
"Tlr5",0,0,0,0,2.17668236761762,0,0,0
"Tnfrsf13c",5.65485699237348,0,0,0,2.17668236761762,0,4.88613203544172,3.61776446105328
"Tnfrsf18",3.73830080485003,5.74501082272223,2.75427319726132,4.53743413063857,4.21766763174215,4.74351311626598,6.33985000288462,6.11372671111375
"Tpsb2",0,0,0,0,0,0,0,0
"Trac",0,0,0,0,0,0,6.65821148275179,9.04925878255093
"Xlr4b",4.28677164947374,0,2.75427319726132,0,0,1.95059140673861,2.74723392962003,5.3905835979831
"Zap70",0,0,0,0,2.17668236761762,1.95059140673861,6.28804210073495,6.60202971848668
"9830107B12Rik",0,0,2.75427319726132,0,6.41797133834607,6.29211723603162,0,1.12891602791321
"A530030E21Rik",0,0,0,0,0,0,3.93411206434354,2.18929666850891
"Arhgef37",0,0,0,0,0,0,1.94753258010587,0.672173496803554
"Camp",6.54832244678131,5.74501082272223,9.68446650557071,4.53743413063857,14.9219921481832,15.7731649689011,0,3.0217749381831
"Cebpe",5.65485699237348,0,7.65927829179512,7.06967352780681,8.76187893148982,10.1602073492987,3.63558857379112,1.75441175771039
"Gfi1b",0,0,0,0,2.17668236761762,1.95059140673861,0,0
"Gm16194",0,0,0,0,2.17668236761762,2.75074777180255,0,0
"Gm43291",6.34424110364447,0,2.75427319726132,0,2.17668236761762,2.75074777180255,4.18132976471456,3.0217749381831
"Ngp",5.97104674591309,5.74501082272223,6.62499498058734,0,15.5367393016927,16.1022744962907,4.57634937041645,4.08947602147011
"Pax5",5.65485699237348,0,0,0,0,0,4.88613203544172,3.98520851480646
"Prg2",5.82159684463338,5.74501082272223,6.44637032653567,6.08037341646402,10.3407120760306,5.86558705198419,1.94753258010587,0.672173496803554
"Ccr6",0,0,0,0,0,0,0,2.79383723760097
"Clec4a4",0,0,2.75427319726132,0,0,0,1.94753258010587,0
"Ear6",2.8425443505199,0,3.64319272917858,0,8.29636692263854,2.75074777180255,2.74723392962003,0.672173496803554
"Epx",0,0,0,0,6.47618998003378,1.95059140673861,1.94753258010587,0.672173496803554
"Tmigd3",0,0,0,0,0,0,0,0.672173496803554
"4930430E12Rik",0,0,2.75427319726132,0,2.17668236761762,0,0,0
"Muc6",0,0,0,0,0,0,0,0
"Prr33",0,0,0,0,0,0,0,0
