"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"2010016I18Rik",0,0,0,4.77166321491429,0,0,3.18368553536341,0
"A630023P12Rik",3.39248059588767,0,0,0,5.6724253419715,0,4.99987847407305,0
"AI839979",0,0,6.80878545766404,5.74501082272223,5.6724253419715,0,1.23125353197806,5.45877381922605
"Adgre1",2.52371094093254,5.42979212819742,9.00031305089434,6.73149768188789,0,0,2.67600457086121,2.75074777180255
"Alox15",0.84138194547934,0,0,0,5.6724253419715,0,0,0
"Blk",7.17302326981963,4.46287892025577,0,4.77166321491429,0,0,4.65871191729838,1.95059140673861
"Bmx",0.84138194547934,0,0,0,0,0,1.23125353197806,4.58030446784311
"Btla",6.84566883094885,5.74501082272223,5.50603203149944,5.74501082272223,0,5.95362865543527,5.66860787826844,1.95059140673861
"C1rl",0,0,0,0,5.6724253419715,0,0,6.06398991629681
"Ccl22",0,3.52685954615759,0,0,0,0,0,0
"Ccl4",3.0225259657015,0,0,0,5.6724253419715,7.52298812971565,4.65871191729838,7.57070387506318
"Ccl5",9.18918090689209,9.95197483458831,9.33414911307826,9.42040350428324,8.96866679319521,12.9637639773679,10.277162054931,5.45877381922605
"Ccr3",1.36934434830431,0,8.17935622737514,0,0,0,0,1.95059140673861
"Ccr7",7.43966393256457,6.5810023142079,6.49007089098767,0,5.6724253419715,4.66620234868133,8.01353148362194,1.95059140673861
"Cd163l1",0,0,0,0,0,0,1.88573747915842,0
"Cd177",2.05903075570522,3.52685954615759,6.49007089098767,4.77166321491429,10.1045987535644,0,1.88573747915842,10.405461522507
"Cd19",9.26354707485643,6.5810023142079,6.08037341646402,7.53302228530608,7.97154355395077,7.20301966661847,6.63492354806872,2.75074777180255
"Cd200r3",0,0,5.50603203149944,0,7.65105169117893,3.72193277920873,1.23125353197806,5.54983154813583
"Cd200r4",2.30999923981722,0,6.49007089098767,0,0,5.2320991418967,2.95206223858638,3.26243143449706
"Cd22",7.89802504802794,6.5810023142079,6.08037341646402,5.74501082272223,5.6724253419715,4.66620234868133,5.54911781129555,0
"Cd27",5.89701425246057,6.00355489717663,5.50603203149944,0,6.65821148275179,7.31774349447598,8.35378884762933,3.9379702621365
"Cd300ld",2.87462487446592,4.46287892025577,6.80878545766404,4.77166321491429,0,0,2.33431846661998,3.9379702621365
"Cd3d",8.49686721587085,8.35453938838698,8.38514338989102,7.89386032822742,8.2336196767597,8.25681276593577,10.0648516868535,3.26243143449706
"Cd3e",5.47725993642254,4.46287892025577,5.50603203149944,0,5.6724253419715,0,7.41625978449572,0
"Cd3g",7.69250437566638,7.31192752807004,7.29053089486733,7.89386032822742,7.65105169117893,7.86237276424473,9.72223677382299,3.9379702621365
"Cd4",3.1566646089935,6.41295975685898,4.53743413063857,0,6.65821148275179,0,6.35513141460456,0
"Cd40",6.53674942218209,6.22273136061697,6.08037341646402,7.72469334861516,5.6724253419715,0,3.98411516472716,0
"Cd5",3.1566646089935,3.52685954615759,0,4.77166321491429,5.6724253419715,0,6.46925234961446,0
"Cd6",4.43201777971662,5.02586808577068,0,5.74501082272223,0,4.66620234868133,6.76575632611499,0
"Cd7",5.69133876230974,9.62657362415986,4.53743413063857,7.31192752807004,5.6724253419715,9.36530887967145,7.39331239289428,5.02319433556088
"Cd79a",11.5169472981472,9.39806858895868,9.33414911307826,10.3039609536576,9.96722625883599,9.56433541028508,9.11960535009039,5.14502337300783
"Cd79b",10.786790220272,9.09900168265966,8.86933679289874,9.24380034350575,10.2888660741658,8.93311487243887,9.13351960255594,4.74351311626598
"Cd83",7.63619979191732,8.15588341834244,7.93925270191296,5.74501082272223,5.6724253419715,6.62294463156538,5.2755974575454,0
"Cd8a",6.04274899606984,7.40446934803409,4.53743413063857,5.74501082272223,5.6724253419715,6.94194223439128,8.44587935467434,0
"Cd8b1",7.49769857734925,6.99226754053634,6.49007089098767,6.73149768188789,5.6724253419715,6.79124231680626,9.51463165353365,2.75074777180255
"Clec2g",0,0,0,0,0,0,0,0
"Clec4a3",3.49735091790261,3.52685954615759,9.56330221640925,9.30510173261615,0,3.72193277920873,1.23125353197806,1.95059140673861
"Clec4e",3.0225259657015,3.52685954615759,4.53743413063857,4.77166321491429,7.65105169117893,0,1.23125353197806,6.1825579883989
"Clec5a",0.84138194547934,0,0,0,6.65821148275179,0,0,7.40985287474539
"Cma1",2.05903075570522,3.52685954615759,0,0,0,6.94194223439128,2.67600457086121,0
"Ctsw",6.35332496769278,5.74501082272223,5.50603203149944,5.74501082272223,6.65821148275179,9.65441772613209,8.08687656294651,0
"Cxcl2",0,0,0,0,0,0,0,3.63938476725441
"Cxcr2",0.84138194547934,0,0,4.77166321491429,7.97154355395077,0,2.95206223858638,6.34392699889581
"Cxcr6",3.8539972270875,3.52685954615759,0,0,0,4.66620234868133,6.65435617183163,0
"Dpep2",1.75501441617638,0,6.08037341646402,0,0,0,1.23125353197806,0
"Ear1",0,0,4.53743413063857,0,0,0,0,1.95059140673861
"Ear2",3.59511201293723,5.42979212819742,9.12038189481559,8.72127910952065,7.23840473932508,5.2320991418967,2.67600457086121,6.77981811141087
"F730016J06Rik",0,0,0,0,0,0,0,3.63938476725441
"Fcer1a",0.84138194547934,0,0,0,0,0,0,6.00083943319059
"Fcer2a",8.42888893814184,5.42979212819742,6.49007089098767,7.05070789329065,0,6.21277809641271,6.0376024524077,1.95059140673861
"Fcgr4",3.49735091790261,0,8.38514338989102,5.74501082272223,0,3.72193277920873,2.95206223858638,5.36157935049781
"Fcmr",9.88987423743074,8.20817017152062,8.17935622737514,8.30738058795774,7.97154355395077,8.00617211350101,7.92029265809298,3.63938476725441
"Fcrl1",7.78862599196301,6.00355489717663,6.80878545766404,6.3209786410585,0,5.95362865543527,5.59005736784392,2.75074777180255
"G430095P16Rik",2.87462487446592,5.42979212819742,4.53743413063857,5.74501082272223,5.6724253419715,0,4.2110289910805,1.95059140673861
"Gapt",4.43201777971662,4.46287892025577,5.50603203149944,4.77166321491429,6.65821148275179,3.72193277920873,0,6.44227813378092
"Gm13986",1.75501441617638,0,0,0,0,0,0,2.75074777180255
"Gm20324",4.5341511358077,3.52685954615759,5.50603203149944,4.77166321491429,0,5.95362865543527,5.50698249239783,1.95059140673861
"Gm5544",0.84138194547934,0,0,0,0,0,0,0
"Gm8113",0,3.52685954615759,0,0,0,0,0,0
"Gm9733",2.05903075570522,7.31192752807004,7.29053089486733,9.52716830914237,6.65821148275179,3.72193277920873,1.88573747915842,4.39624901000793
"Gzma",7.49769857734925,7.21304024912684,7.93925270191296,7.72469334861516,7.65105169117893,12.5857469086445,7.61778179169057,2.75074777180255
"Gzmb",0.84138194547934,0,0,0,0,7.86237276424473,2.95206223858638,0
"H2-Eb2",5.77715833234396,6.00355489717663,4.53743413063857,5.74501082272223,5.6724253419715,0,3.98411516472716,0
"I830127L07Rik",3.68666686851936,0,6.80878545766404,7.72469334861516,10.2888660741658,5.95362865543527,4.1020287454854,10.8835995485012
"Ifi205",1.36934434830431,6.73149768188789,4.53743413063857,4.77166321491429,0,0,1.88573747915842,0
"Ifitm6",4.95824386595183,6.99226754053634,9.28360286623947,9.24380034350575,10.1686721181322,5.2320991418967,4.8729216598241,10.7769113800019
"Il4",1.36934434830431,0,0,0,5.6724253419715,0,1.23125353197806,3.26243143449706
"Il9r",4.48398806564501,0,0,5.74501082272223,0,0,3.71472689121965,0
"Itga2b",0,0,0,0,5.6724253419715,0,0,3.9379702621365
"Itgam",2.30999923981722,4.46287892025577,6.08037341646402,5.74501082272223,9.10590850857116,6.94194223439128,2.95206223858638,8.69211836134288
"Itgax",2.30999923981722,8.10163017317693,0,4.77166321491429,0,6.21277809641271,2.95206223858638,1.95059140673861
"Izumo1r",4.84357173843053,4.46287892025577,4.53743413063857,4.77166321491429,0,3.72193277920873,6.93420746070287,1.95059140673861
"Klra13-ps",3.0225259657015,0,0,0,0,9.67608607735581,4.40705584788977,0
"Klra7",3.0225259657015,3.52685954615759,0,0,0,8.96866679319521,3.98411516472716,0
"Klra8",3.0225259657015,0,7.29053089486733,4.77166321491429,0,10.0358719723027,3.18368553536341,0
"Klrc1",2.70981102863803,3.52685954615759,0,0,0,8.00617211350101,4.1020287454854,1.95059140673861
"Klrd1",5.83833060529119,8.25862801730774,6.49007089098767,7.05070789329065,0,10.1486625843756,7.47208045504283,0
"Klre1",3.27938541649301,3.52685954615759,5.50603203149944,4.77166321491429,0,9.71847022601352,3.85569962953473,0
"Klrg1",1.75501441617638,3.52685954615759,6.08037341646402,0,0,7.52298812971565,3.18368553536341,0
"Klri2",2.05903075570522,0,4.53743413063857,4.77166321491429,0,8.00617211350101,1.23125353197806,0
"Klrk1",2.70981102863803,3.52685954615759,5.50603203149944,5.74501082272223,0,9.71847022601352,4.93779613768665,0
"Lck",8.21874297893099,7.79475785877576,6.49007089098767,7.53302228530608,8.2336196767597,9.00336364708807,9.74053540473005,3.63938476725441
"Ly6g",2.70981102863803,0,0,0,8.96866679319521,0,1.23125353197806,9.40347600884886
"Lyz1",0.84138194547934,0,6.49007089098767,7.05070789329065,6.65821148275179,0,1.23125353197806,4.39624901000793
"Mcemp1",3.93090586029734,7.31192752807004,7.65105169117893,7.05070789329065,9.23122118071119,0,3.55847228616487,9.52628342479592
"Mfsd7a",0,0,0,4.77166321491429,0,0,0,0
"Mmp25",0,0,0,0,5.6724253419715,0,0,4.74351311626598
"Ms4a2",0,0,0,0,7.65105169117893,0,0,5.71633059328279
"Ms4a4b",8.5738270623202,8.40020533220907,8.28591590768409,8.30738058795774,7.97154355395077,10.7280241881095,10.6493651335302,3.9379702621365
"Mzb1",9.49011166078224,7.31192752807004,6.49007089098767,7.53302228530608,7.23840473932508,7.07837864708551,6.9964411304066,2.75074777180255
"Ncr1",3.8539972270875,4.46287892025577,4.53743413063857,0,0,9.54090767581602,2.95206223858638,0
"Nkg7",7.98174691655591,7.49143119398981,7.48202360928114,8.52912227499525,9.10590850857116,11.6143170709672,9.6047904756327,7.95080862346928
"Nudt17",0,5.42979212819742,0,0,0,0,1.88573747915842,0
"Olr1",0,0,0,0,0,0,0,5.25736082416071
"Padi4",2.05903075570522,0,0,6.3209786410585,8.45532722030456,3.72193277920873,1.88573747915842,6.57827265487946
"Prf1",3.77275665660722,4.46287892025577,4.53743413063857,4.77166321491429,0,8.19811558722264,4.73370515502903,0
"Prg3",0,0,0,0,0,0,0,3.9379702621365
"Prss57",1.75501441617638,0,4.53743413063857,0,7.23840473932508,0,0,7.05316736574822
"Rab44",0.84138194547934,0,0,4.77166321491429,7.23840473932508,0,1.23125353197806,7.08396310996745
"Rasgrp4",3.1566646089935,6.22273136061697,6.08037341646402,5.74501082272223,7.65105169117893,0,3.18368553536341,7.40985287474539
"Retnlg",7.01419942321004,7.10687283090701,7.29053089486733,7.53302228530608,12.5144675028193,6.79124231680626,6.69245336693742,3.26243143449706
"Rgs18",4.26383139935876,6.5810023142079,0,4.77166321491429,7.65105169117893,0,1.88573747915842,6.23837736292839
"Sh2d1a",4.71899174735584,3.52685954615759,4.53743413063857,0,0,7.86237276424473,6.72957035948755,0
"Sh2d2a",5.45138733799272,3.52685954615759,0,0,0,7.20301966661847,6.78351454546489,0
"Siglecf",0.84138194547934,0,0,0,5.6724253419715,0,1.23125353197806,3.26243143449706
"Skint3",0,3.52685954615759,4.53743413063857,0,0,0,1.23125353197806,0
"Slamf8",2.30999923981722,6.73149768188789,5.50603203149944,4.77166321491429,0,0,1.88573747915842,1.95059140673861
"Spib",8.17988151756349,7.40446934803409,5.50603203149944,7.05070789329065,5.6724253419715,5.2320991418967,5.50698249239783,4.18523043637647
"Tal1",0.84138194547934,0,4.53743413063857,0,0,0,0,1.95059140673861
"Tarm1",0,0,0,0,0,0,0,2.75074777180255
"Tcf7",5.45138733799272,5.42979212819742,4.53743413063857,5.74501082272223,5.6724253419715,6.43238912377283,8.04331844341061,1.95059140673861
"Tgtp2",5.0644686350439,5.42979212819742,0,0,0,6.21277809641271,6.85243907247949,0
"Themis",3.77275665660722,3.52685954615759,0,0,0,3.72193277920873,5.22450880234472,1.95059140673861
"Tlr13",0.84138194547934,4.46287892025577,6.80878545766404,6.3209786410585,5.6724253419715,0,2.95206223858638,0
"Tnfrsf13c",7.516536016855,3.52685954615759,5.50603203149944,6.3209786410585,0,6.43238912377283,4.80499201236275,0
"Tnfrsf18",5.81822667448459,5.02586808577068,5.50603203149944,0,5.6724253419715,6.21277809641271,6.44713893667953,4.74351311626598
"Tnip3",0.84138194547934,0,0,0,0,0,0,0
"Trac",7.75200248696616,7.21304024912684,6.49007089098767,5.74501082272223,7.97154355395077,6.79124231680626,9.85832875414611,0
"Xlr4b",4.99452812737226,4.46287892025577,0,0,0,4.66620234868133,5.17154436971301,1.95059140673861
"Zap70",4.99452812737226,3.52685954615759,6.49007089098767,4.77166321491429,0,6.62294463156538,6.8691677105615,1.95059140673861
"9830107B12Rik",0.84138194547934,0,0,0,6.65821148275179,0,0,6.29211723603162
"A530030E21Rik",5.16340566435451,5.42979212819742,0,0,0,0,2.33431846661998,0
"A930002I21Rik",1.75501441617638,0,0,0,0,0,1.23125353197806,0
"Arhgef37",0.84138194547934,0,0,0,0,0,0,0
"Camp",7.73064963619244,7.40446934803409,7.06967352780681,8.30738058795774,15.2099482932759,8.00617211350101,7.57763240874347,15.7731649689011
"Cd40lg",0,0,0,0,0,0,3.55847228616487,0
"Cebpe",2.87462487446592,3.52685954615759,0,0,9.64565843240871,0,1.23125353197806,10.1602073492987
"Gfi1b",0,0,0,0,0,0,1.88573747915842,1.95059140673861
"Gm13814",0,0,0,0,0,0,1.23125353197806,0
"Gm43291",6.22176505284028,4.46287892025577,4.53743413063857,0,0,3.72193277920873,3.98411516472716,2.75074777180255
"Ngp",7.29441701643042,7.40446934803409,6.80878545766404,7.05070789329065,15.2080437953743,7.07837864708551,7.30999413682677,16.1022744962907
"Pax5",6.60874135990147,0,4.53743413063857,4.77166321491429,0,5.2320991418967,3.71472689121965,0
"Prg2",4.37810517922486,0,0,0,0,0,1.88573747915842,5.86558705198419
"Ccr6",4.76172493221702,0,0,0,0,0,3.18368553536341,0
"Clec4a4",3.0225259657015,6.5810023142079,0,0,5.6724253419715,0,1.23125353197806,0
"Ear6",0,0,0,0,0,0,1.23125353197806,2.75074777180255
"Epx",0.84138194547934,0,0,0,0,0,0,1.95059140673861
"Gzmk",1.75501441617638,0,0,0,0,0,4.1020287454854,0
"Tmigd3",0,4.46287892025577,0,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0
"Gm8221",0,0,0,0,0,0,0,0
